No,full_text,username
104,"Wakil Presiden RI Gibran Rakabuming Raka memastikan program makan bergizi gratis tidak hanya diterapkan di sekolah dan ibu hamil namun juga akan diterapkan di pondok pesantren// Gibran menyatakan pentingnya kebutuhan gizi para santri terpenuhi. Khususnya, karena mereka tak https://t.co/zSa2h2VqTo",RadioElshinta
105,Anggaran Program Makan Bergizi Gratis Capai Rp71 Triliun https://t.co/fWC1y3K92R,pajakcom
106,"1. Pondok Pesantren Muhammadiyah Boarding School (MBS) Ki Bagus Hadikusumo, sebagai lembaga pendidikan yang berkomitmen penuh terhadap kemajuan peradaban bangsa, mengundang Wakil Presiden Gibran Rakabuming untuk meninjau simulasi program Makan Bergizi Gratis (MBG). Kegiatan ini https://t.co/E6COkYej1Q",KemensetnegRI
107,"Kabar Baik, Program Makan Bergizi Gratis Bakal Diterapkan di Pesantren #BNetwork
https://t.co/iabJyb7IfO",Beritasatu
108,"Presiden Prabowo Subianto mengatakan, program makan bergizi gratis yang akan dilaksanakan pemerintah bisa meningkatkan peredaran uang hingga 800 persen di daerah.

Peningkatan itu jika diperbandingkan dengan program dana desa yang memberi Rp1 miliar/tahun untuk desa.

#SmartNews https://t.co/v4a0ZCRxDk",RadioSmartFM
109,"Wapres Gibran Sosialisasikan Program Makan Bergizi Gratis di Pondok Pesantren Muhammadiyah Bogor
https://t.co/fqafTsuFiw",Beritasatu
110,"Presiden Prabowo mengumumkan, program makan bergizi gratis (MBG) akan meningkatkan alokasi anggaran ke desa-desa, sebagai upaya untuk memberdayakan ekonomi di tingkat pedesaan, kecamatan, hingga provinsi.

Bahkan, Presiden mengatakan MBG dapat membuat peredaran uang di desa https://t.co/XxYPTVSZMC",akuratco
111,"Padahal Menurut Prabowo, penghematan anggaran itu bisa membangun bendungan, irigasi, sarana pendidikan, serta mendanai program makan bergizi gratis. 

https://t.co/LYsj397XuM",PaltiHutabarat
112,"Presiden Prabowo Subianto mengumumkan bahwa program makan bergizi gratis akan meningkatkan alokasi anggaran ke desa-desa. 

Hal ini sebagai upaya untuk memberdayakan ekonomi di tingkat pedesaan, kecamatan, hingga provinsi.

Simak berita selengkapnya hanya di https://t.co/vYOVnhXcaN",tvOneNews
113,"Presiden Prabowo Subianto mengatakan, program Makan Bergizi Gratis (MBG) merupakan langkah strategis untuk memberdayakan ekonomi di pedesaan. 

Hal tersebut disampaikan Prabowo saat acara penyerahan Daftar Isian Pelaksanaan Anggaran (DIPA) dan Buku Daftar Alokasi Transfer ke https://t.co/vc8AT7ojqN",tvOneNews
114,"Kasat Binmas Polres Lumajang Melaksanakan Kegiatan Program Makan Bergizi Gratis, Yang Dilaksanakan Di MA Putri Nurul Masyithoh Lumajang.

@divisihumaspolri
@humaspoldajatim
@polisi_indonesia

#IndonesiaDamai
#divisihumaspolri
#humaspolri
#humaspoldajatim
#polri
#polripresisi https://t.co/Hoz0tLwF2k",PolsekKunir
