token,frekuensi,prob,H_kontribusi
citacita,2,0.00023635,0.00284727
variasi,2,0.00023635,0.00284727
akuntabel,2,0.00023635,0.00284727
malaysia,2,0.00023635,0.00284727
ajak,2,0.00023635,0.00284727
cari,2,0.00023635,0.00284727
asia,2,0.00023635,0.00284727
manajemen,2,0.00023635,0.00284727
kiblat,2,0.00023635,0.00284727
tetangga,2,0.00023635,0.00284727
rusak,2,0.00023635,0.00284727
kawasan,2,0.00023635,0.00284727
praktik,2,0.00023635,0.00284727
kuliah,2,0.00023635,0.00284727
dzalim,2,0.00023635,0.00284727
kh,2,0.00023635,0.00284727
marzuki,2,0.00023635,0.00284727
mustamar,2,0.00023635,0.00284727
elit,2,0.00023635,0.00284727
sidang,2,0.00023635,0.00284727
nelayan,2,0.00023635,0.00284727
cicip,2,0.00023635,0.00284727
kapasitas,2,0.00023635,0.00284727
suka,2,0.00023635,0.00284727
paham,2,0.00023635,0.00284727
krl,2,0.00023635,0.00284727
commuter,2,0.00023635,0.00284727
line,2,0.00023635,0.00284727
pond,2,0.00023635,0.00284727
dengan,2,0.00023635,0.00284727
itsskin,2,0.00023635,0.00284727
mp,2,0.00023635,0.00284727
front,2,0.00023635,0.00284727
camera,2,0.00023635,0.00284727
biore,2,0.00023635,0.00284727
uvxstray,2,0.00023635,0.00284727
kids,2,0.00023635,0.00284727
aneuk,2,0.00023635,0.00284727
mahasiswa,2,0.00023635,0.00284727
gara,2,0.00023635,0.00284727
ijm,2,0.00023635,0.00284727
mark,1,0.00011818,0.00154181
snack,1,0.00011818,0.00154181
pkk,1,0.00011818,0.00154181
gin,1,0.00011818,0.00154181
mampu,1,0.00011818,0.00154181
kpd,1,0.00011818,0.00154181
ibuibu,1,0.00011818,0.00154181
rahim,1,0.00011818,0.00154181
kencing,1,0.00011818,0.00154181
aneh,1,0.00011818,0.00154181
wacana,1,0.00011818,0.00154181
kemas,1,0.00011818,0.00154181
ulang,1,0.00011818,0.00154181
narasi,1,0.00011818,0.00154181
dar,1,0.00011818,0.00154181
nyebut,1,0.00011818,0.00154181
raharjo,1,0.00011818,0.00154181
sdiri,1,0.00011818,0.00154181
brp,1,0.00011818,0.00154181
mikirin,1,0.00011818,0.00154181
masy,1,0.00011818,0.00154181
enak,1,0.00011818,0.00154181
tertawa,1,0.00011818,0.00154181
entah,1,0.00011818,0.00154181
rumus,1,0.00011818,0.00154181
xm,1,0.00011818,0.00154181
keluar,1,0.00011818,0.00154181
juga,1,0.00011818,0.00154181
ngawasin,1,0.00011818,0.00154181
sprt,1,0.00011818,0.00154181
ngasih,1,0.00011818,0.00154181
tweet,1,0.00011818,0.00154181
minum,1,0.00011818,0.00154181
tagar,1,0.00011818,0.00154181
panik,1,0.00011818,0.00154181
lauk,1,0.00011818,0.00154181
pauk,1,0.00011818,0.00154181
tiga,1,0.00011818,0.00154181
kawatirnya,1,0.00011818,0.00154181
dpok,1,0.00011818,0.00154181
sop,1,0.00011818,0.00154181
sbv,1,0.00011818,0.00154181
tawar,1,0.00011818,0.00154181
main,1,0.00011818,0.00154181
namunutk,1,0.00011818,0.00154181
kombinasi,1,0.00011818,0.00154181
sus,1,0.00011818,0.00154181
luanak,1,0.00011818,0.00154181
masa,1,0.00011818,0.00154181
tkd,1,0.00011818,0.00154181
telor,1,0.00011818,0.00154181
top,1,0.00011818,0.00154181
nanti,1,0.00011818,0.00154181
riil,1,0.00011818,0.00154181
maaf,1,0.00011818,0.00154181
bkn,1,0.00011818,0.00154181
mksd,1,0.00011818,0.00154181
siangsusu,1,0.00011818,0.00154181
taraf,1,0.00011818,0.00154181
pekerjaanupah,1,0.00011818,0.00154181
sekolahampjamkes,1,0.00011818,0.00154181
ngontrakmaka,1,0.00011818,0.00154181
pada,1,0.00011818,0.00154181
anaknyato,1,0.00011818,0.00154181
be,1,0.00011818,0.00154181
continue,1,0.00011818,0.00154181
kreativitas,1,0.00011818,0.00154181
sosis,1,0.00011818,0.00154181
ganti,1,0.00011818,0.00154181
joee,1,0.00011818,0.00154181
anies,1,0.00011818,0.00154181
kembali,1,0.00011818,0.00154181
makananmakanan,1,0.00011818,0.00154181
id,1,0.00011818,0.00154181
bedah,1,0.00011818,0.00154181
menit,1,0.00011818,0.00154181
absurd,1,0.00011818,0.00154181
dipaksaain,1,0.00011818,0.00154181
cm,1,0.00011818,0.00154181
bancak,1,0.00011818,0.00154181
ketidaksetaraan,1,0.00011818,0.00154181
ekstra,1,0.00011818,0.00154181
jujur,1,0.00011818,0.00154181
dibekelin,1,0.00011818,0.00154181
