No,full_text,username,tweet_tokens_stemmed,n_token,n_token_unik,entropy_bit,entropy_max,entropy_norm
253,kepala badan gizi nasional bgn dadan hindayana mengatakan pemerintah melakukan intervensi menyeluruh kepada anakanak indonesia melalui program makan bergizi gratis mbg baca selengkapnya di ac,kompascom,"['kepala', 'badan', 'gizi', 'nasional', 'bgn', 'dad', 'hindayana', 'perintah', 'intervensi', 'anakanak', 'indonesia', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'baca', 'lengkap', 'ac']",19,18,4.14266435552288,4.169925001442312,0.993463
254,momen haru perpisahan siswa yg putus sekolah karena faktor ekonomi di tengah besarnya anggaran program seperti makan bergizi gratis mbg yang mencapai triliunan rupiah realitas di lapangan justru menunjukkan cerita yang berbeda ikhsan siswa kelas viii di smp negeri,NenkMonica,"['peristiwa', 'haru', 'pisah', 'siswa', 'putus', 'sekolah', 'faktor', 'ekonomi', 'besar', 'anggar', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'capai', 'triliun', 'rupiah', 'realitas', 'lapang', 'cerita', 'beda', 'ikhsan', 'siswa', 'kelas', 'viii', 'smp', 'negeri']",28,27,4.735926350590079,4.754887502163468,0.996012
255,seorang santri yatim bernama muhammad zainuddin alwi merasakan manfaat program makan bergizi gratis mbg setelah bergabung di dapur sppg klodran sejak melalui pekerjaannya ia memperoleh penghasilan untuk membantu keluarga sekaligus menambah keterampilan sebagai bekal di,antaranews,"['santri', 'yatim', 'nama', 'muhammad', 'zainuddin', 'alwi', 'rasa', 'manfaat', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'gabung', 'dapur', 'sppg', 'klodran', 'kerja', 'oleh', 'hasil', 'bantu', 'keluarga', 'tambah', 'terampil', 'bekal']",25,25,4.643856189738657,4.643856189774724,1.0
256,harga sayur stabil petani boyolali dukung keberlanjutan mbg boyolali april program makan bergizi gratis mbg mulai berdampak pada stabilitas harga sayur di tingkat petani di boyolali karisudin petani di kecamatan selo menyebut komoditas seperti bawang merah kini,BangPino__,"['harga', 'sayur', 'stabil', 'tani', 'boyolali', 'dukung', 'lanjut', 'mbg', 'boyolali', 'april', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'dampak', 'stabilitas', 'harga', 'sayur', 'tingkat', 'tani', 'boyolali', 'karisudin', 'tani', 'camat', 'selo', 'sebut', 'komoditas', 'bawang', 'merah']",30,23,4.389898095431105,4.523561956057013,0.970452
257,di balik senyum anakanak ada harapan besar untuk negeri ini polri turut mendampingi program makan bergizi gratis sebagai bentuk kepedulian terhadap tumbuh kembang generasi bangsa polri terus menjamin ketahanan pangan masyarakat dan,bidhumas_jatim,"['senyum', 'anakanak', 'harap', 'negeri', 'polri', 'damping', 'program', 'makan', 'gizi', 'gratis', 'bentuk', 'peduli', 'tumbuh', 'kembang', 'generasi', 'bangsa', 'polri', 'jamin', 'tahan', 'pangan', 'masyarakat']",21,20,4.297079327511811,4.321928094887363,0.994251
258,diterpa masalah bertubitubi uya kuya kembali harus menghadapi ujian baru setelah sebelumnya rumahnya sempat dijarah akibat hoax yang viral ia lagilagi jadi sasaran kabar bohongkali ini dituding memiliki dapur program makan bergizi gratis mbg situasi ini membuat,VIVAcoid,"['terpa', 'bertubitubi', 'uya', 'kuya', 'hadap', 'uji', 'rumah', 'jarah', 'akibat', 'hoax', 'viral', 'lagilagi', 'sasar', 'kabar', 'bohongkali', 'tuding', 'milik', 'dapur', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'situasi']",24,24,4.584962500686531,4.584962500721156,1.0
259,program makan bergizi gratis mbg yang digulirkan presiden prabowo subianto memberikan dampak positif bagi pelaku usaha kecil di daerah salah satunya dirasakan oleh sholikin perajin tempe asal desa semen kabupaten ngawi jawa timur yang mencatat peningkatan produksi,abu_waras,"['program', 'makan', 'gizi', 'gratis', 'mbg', 'gulir', 'presiden', 'prabowo', 'subianto', 'dampak', 'positif', 'laku', 'usaha', 'daerah', 'salah', 'satu', 'rasa', 'sholikin', 'rajin', 'tempe', 'desa', 'semen', 'kabupaten', 'ngawi', 'jawa', 'timur', 'catat', 'tingkat', 'produksi']",29,29,4.857980995085733,4.857980995127572,1.0
260,lonjakan biaya ukt di ptn saat ini menjadi ancaman nyata yang mengubah pendidikan tinggi dari hak warga negara menjadi privilege kelompok elite ketika anggaran pendidikan justru dialokasikan untuk program makan bergizi gratis mbg negara tampak sedang melakukan kebijakan,kenhans03,"['lonjak', 'biaya', 'ukt', 'ptn', 'ancam', 'nyata', 'ubah', 'didik', 'hak', 'warga', 'negara', 'privilege', 'kelompok', 'elite', 'anggar', 'didik', 'alokasi', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'negara', 'bijak']",24,22,4.418295834022749,4.459431618637297,0.990776
261,dulu cuma makan nasi sama garam sekarang anakanak bisa menikmati buah susu dan makanan bergizi berkat program mbg perubahan kecil yang membawa harapan besar untuk masa depan generasi bangsa pagii,BenaDinata01,"['makan', 'nasi', 'garam', 'anakanak', 'nikmat', 'buah', 'susu', 'makan', 'gizi', 'berkat', 'program', 'mbg', 'ubah', 'bawa', 'harap', 'generasi', 'bangsa', 'pagi']",18,17,4.058813890306675,4.087462841250339,0.992991
262,efektivitas makan bergizi gratis terlihat dari dampak positif yang dirasakan langsung oleh masyarakat,RosaJaanne,"['efektivitas', 'makan', 'gizi', 'gratis', 'dampak', 'positif', 'rasa', 'langsung', 'masyarakat']",9,9,3.169925001429328,3.169925001442312,1.0
263,kepala badan gizi nasional bgn dadan hindayana meluruskan bahwa pernyataannya terkait kebutuhan ekor sapi untuk program makan bergizi gratis mbg hanya merupakan simulasi atau pengandaian perhitungan baca selengkapnya di ac,kompascom,"['kepala', 'badan', 'gizi', 'nasional', 'bgn', 'dad', 'hindayana', 'lurus', 'nyata', 'kait', 'butuh', 'ekor', 'sapi', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'simulasi', 'andai', 'hitung', 'baca', 'lengkap', 'ac']",24,23,4.50162916735464,4.523561956057013,0.995151
264,hanya simulasi terkait kenutuhan daging sapi dalam program mbg kepala badan gizi nasional bgndadanhindayanamengklarifikasi pernyataannya yang menyebut kebutuhan daging sapi dalam program makan bergizi gratis mbg mencapai ribu ekor per hari dadan mengatakan angka,Jateng_Twit,"['simulasi', 'kait', 'kenutuhan', 'daging', 'sapi', 'program', 'mbg', 'kepala', 'badan', 'gizi', 'nasional', 'bgndadanhindayanamengklarifikasi', 'nyata', 'sebut', 'butuh', 'daging', 'sapi', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'capai', 'ribu', 'ekor', 'dad', 'angka']",27,22,4.384517131761358,4.459431618637297,0.983201
265,program tersebut mewajibkan dapur pelaksana makan bergizi gratis mbg memiliki sejumlah sertifikasi seperti laik higiene halal dan hazard analysis and critical control point haccp guna menjamin kualitas dan keamanan pangan namun anggota dpr ri irma suryani chaniago,Jateng_Twit,"['program', 'wajib', 'dapur', 'laksana', 'makan', 'gizi', 'gratis', 'mbg', 'milik', 'sertifikasi', 'laik', 'higiene', 'halal', 'hazard', 'analysis', 'dan', 'critical', 'control', 'titik', 'haccp', 'jamin', 'kualitas', 'aman', 'pangan', 'anggota', 'dpr', 'ri', 'irma', 'suryani', 'chaniago']",30,30,4.9068905955652395,4.906890595608519,1.0
266,isu ribu sapi untuk mbg disorot bgn jelaskan kenapa daging jarang muncul pernyataan kepala badan gizi nasional bgn dadan hindayana soal ribu ekor sapi untuk program makan bergizi gratis mbg sempat menuai sorotan pasalnya menu daging sapi dinilai jarang muncul,Melihat_Indo,"['isu', 'ribu', 'sapi', 'mbg', 'sorot', 'bgn', 'daging', 'jarang', 'muncul', 'nyata', 'kepala', 'badan', 'gizi', 'nasional', 'bgn', 'dad', 'hindayana', 'ribu', 'ekor', 'sapi', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'tuai', 'sorot', 'pasal', 'menu', 'daging', 'sapi', 'nilai', 'jarang', 'muncul']",34,24,4.477024973505024,4.584962500721156,0.976458
